flag,area,confirmed,suspected,cured,dead
000000,中国,17205,21558,475,361
810000,香港特别行政区,15,0,0,0
460000,海南省,64,0,4,1
469030,琼中黎族苗族自治县,17,0,3,0
469030,琼中黎族苗族自治县,11,0,0,0
469030,琼中黎族苗族自治县,8,0,0,0
469030,琼中黎族苗族自治县,6,0,0,0
469030,琼中黎族苗族自治县,6,0,0,0
469030,琼中黎族苗族自治县,5,0,0,0
469030,琼中黎族苗族自治县,4,0,0,0
469030,琼中黎族苗族自治县,2,0,0,1
469030,琼中黎族苗族自治县,1,0,0,0
469029,保亭黎族苗族自治县,1,0,0,0
469030,琼中黎族苗族自治县,1,0,0,0
469030,琼中黎族苗族自治县,1,0,0,0
469030,琼中黎族苗族自治县,1,0,0,0
410000,河南省,493,0,10,2
419001,济源市,88,0,4,0
419001,济源市,65,0,2,0
419001,济源市,62,0,1,2
419001,济源市,46,0,0,0
419001,济源市,40,0,1,0
419001,济源市,36,0,0,0
419001,济源市,24,0,0,0
419001,济源市,21,0,0,0
419001,济源市,16,0,0,0
419001,济源市,14,0,0,0
419001,济源市,14,0,0,0
419001,济源市,13,0,0,0
419001,济源市,11,0,0,0
419001,济源市,8,0,0,0
419001,济源市,8,0,0,0
419001,济源市,7,0,0,0
419001,济源市,7,0,0,0
419001,济源市,7,0,0,0
419001,济源市,3,0,0,0
419001,济源市,2,0,0,0
419001,济源市,1,0,0,0
620000,甘肃省,40,0,3,0
623027,夏河县,23,0,2,0
623027,夏河县,3,0,0,0
623027,夏河县,3,0,0,0
623027,夏河县,3,0,1,0
623027,夏河县,2,0,0,0
623027,夏河县,2,0,0,0
623027,夏河县,1,0,0,0
623027,夏河县,1,0,0,0
623027,夏河县,1,0,0,0
623027,夏河县,1,0,0,0
210000,辽宁省,70,0,1,0
211481,兴城市,17,0,0,0
211481,兴城市,12,0,1,0
211481,兴城市,7,0,0,0
211481,兴城市,6,0,0,0
211481,兴城市,6,0,0,0
211481,兴城市,6,0,0,0
211481,兴城市,5,0,0,0
211481,兴城市,3,0,0,0
211481,兴城市,3,0,0,0
211481,兴城市,2,0,0,0
211481,兴城市,2,0,0,0
211481,兴城市,1,0,0,0
360000,江西省,333,0,12,0
361181,德兴市,89,0,1,0
361181,德兴市,55,0,2,0
361181,德兴市,43,0,3,0
361181,德兴市,34,0,1,0
361181,德兴市,31,0,1,0
361181,德兴市,24,0,0,0
361181,德兴市,19,0,1,0
361181,德兴市,15,0,1,0
361181,德兴市,12,0,1,0
361181,德兴市,8,0,0,0
361181,德兴市,3,0,1,0
510000,四川省,231,0,11,1
513437,雷波县,73,0,9,1
513437,雷波县,23,0,0,0
513437,雷波县,20,0,1,0
513437,雷波县,14,0,1,0
513437,雷波县,11,0,0,0
513437,雷波县,10,0,0,0
513437,雷波县,9,0,0,0
513437,雷波县,9,0,0,0
513437,雷波县,9,0,0,0
513437,雷波县,8,0,0,0
513437,雷波县,7,0,0,0
513437,雷波县,6,0,0,0
513437,雷波县,5,0,0,0
513437,雷波县,5,0,0,0
513437,雷波县,5,0,0,0
513437,雷波县,5,0,0,0
513437,雷波县,5,0,0,0
513437,雷波县,2,0,0,0
513437,雷波县,2,0,0,0
513437,雷波县,2,0,0,0
513437,雷波县,1,0,0,0
340000,安徽省,340,0,7,0
341882,广德市,59,0,2,0
341882,广德市,59,0,0,0
341882,广德市,43,0,0,0
341882,广德市,30,0,2,0
341882,广德市,27,0,0,0
341882,广德市,26,0,0,0
341882,广德市,16,0,0,0
341882,广德市,16,0,1,0
341882,广德市,14,0,0,0
341882,广德市,13,0,1,0
341882,广德市,9,0,0,0
341882,广德市,6,0,0,0
341882,广德市,6,0,0,0
341882,广德市,6,0,0,0
341882,广德市,6,0,0,0
341882,广德市,4,0,1,0
430000,湖南省,463,0,16,0
433130,龙山县,112,0,2,0
433130,龙山县,53,0,0,0
433130,龙山县,49,0,1,0
433130,龙山县,42,0,0,0
433130,龙山县,31,0,1,0
433130,龙山县,30,0,3,0
433130,龙山县,29,0,1,0
433130,龙山县,27,0,0,0
433130,龙山县,25,0,1,0
433130,龙山县,22,0,2,0
433130,龙山县,18,0,1,0
433130,龙山县,16,0,3,0
433130,龙山县,6,0,1,0
433130,龙山县,3,0,0,0
330000,浙江省,661,0,32,0
331181,龙泉市,265,0,15,0
331181,龙泉市,110,0,2,0
331181,龙泉市,100,0,7,0
331181,龙泉市,66,0,1,0
331181,龙泉市,34,0,4,0
331181,龙泉市,27,0,1,0
